
2024/05/20 (11:39:50) | ===> btop++ v.1.3.2
2024/05/20 (11:39:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/20 (12:26:12) | ===> btop++ v.1.3.2
2024/05/20 (12:26:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/20 (12:27:32) | ===> btop++ v.1.3.2
2024/05/20 (12:27:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/20 (12:32:17) | ===> btop++ v.1.3.2
2024/05/20 (12:32:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/20 (12:32:51) | ===> btop++ v.1.3.2
2024/05/20 (12:32:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/21 (01:59:26) | ===> btop++ v.1.3.2
2024/05/21 (01:59:26) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/29 (10:01:34) | ===> btop++ v.1.3.2
2024/05/29 (10:01:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/30 (12:50:25) | ===> btop++ v.1.3.2
2024/05/30 (12:50:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/31 (01:54:54) | ===> btop++ v.1.3.2
2024/05/31 (01:54:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/31 (11:09:18) | ===> btop++ v.1.3.2
2024/05/31 (11:09:18) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/05/31 (11:09:18) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/05/31 (23:56:44) | ===> btop++ v.1.3.2
2024/05/31 (23:56:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/05/31 (23:56:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/02 (23:15:01) | ===> btop++ v.1.3.2
2024/06/02 (23:15:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/02 (23:15:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/02 (23:15:09) | ===> btop++ v.1.3.2
2024/06/02 (23:15:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/02 (23:15:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/03 (11:17:22) | ===> btop++ v.1.3.2
2024/06/03 (11:17:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/03 (11:17:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/03 (11:34:03) | ===> btop++ v.1.3.2
2024/06/03 (11:34:03) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/03 (11:34:03) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/03 (11:58:56) | ===> btop++ v.1.3.2
2024/06/03 (11:58:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/03 (11:58:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/03 (11:59:53) | ===> btop++ v.1.3.2
2024/06/03 (11:59:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/03 (11:59:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/03 (22:11:12) | ===> btop++ v.1.3.2
2024/06/03 (22:11:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/06/03 (22:11:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/04 (01:15:16) | ===> btop++ v.1.3.2
2024/06/04 (01:15:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
